normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
"When Jack and Taylor arrived at the award function together , everyone misread the situation .","When Jack and Taylor arrived at the award function together , everyone got the wrong end of the stick .",misread | situation,get the wrong end of the stick,"[(12, 13), (14, 15)]","[(12, 13), (14, 17), (18, 19)]",3
It is a matter of debate if lazy people are less intelligent than their brethren .,It is a matter of debate if couch potatoes are less intelligent than their brethren .,lazy people,couch potato,"[(7, 9)]","[(7, 9)]",1
The waiter could not understand what I was saying and kept repeating `` can you say that again '' every time I named a dish to be ordered .,The waiter could not understand what I was saying and kept repeating `` come again '' every time I named a dish to be ordered .,can you say that,come again,"[(13, 17)]","[(13, 14)]",1
The crew tried to make themselves look good but the manager did not buy their story .,The crew tried to blow their own trumpet but the manager did not buy their story .,make themselves look good,blow your own trumpet,"[(4, 8)]","[(4, 5), (6, 8)]",2
My mother always told us to try new things and absorb other people 's culture .,"My mother always told us that when in Rome , do as the Romans .",to try new things and absorb other people 's culture,"when in Rome, do as the Romans","[(5, 15)]","[(5, 14)]",1
It is good to agree with the others when going out for dinner .,It is good to chime in with the others when going out for dinner .,agree,chime in,"[(4, 5)]","[(4, 6)]",1
You continue to trust him even when he just lies to you repeatedly .,You continue to trust him even when he just lies to you time after time .,repeatedly,time after time,"[(12, 13)]","[(12, 15)]",1
Nobody will want to be friends with you if you are considered unacceptably behaved in your social circle .,Nobody will want to be friends with you if you are considered beyond the pale in your social circle .,unacceptably behaved,beyond the pale,"[(12, 14)]","[(12, 15)]",1
They are too much of risk takers and I can not afford that kind of risk .,They are high rollers and I can not afford that kind of risk .,too much | takers,high roller,"[(2, 4), (6, 7)]","[(2, 4)]",2
"As the head of the family , he ensures that he brings home enough money for the family .","As the head of the family , he ensures that he brings home the bacon .",enough money for,bring home the bacon,"[(13, 16)]","[(14, 15)]",1
The results are sure to be good this time since the exam was extremely easy .,The results are sure to be good this time since the exam was as easy as a pie .,extremely,as easy as pie,"[(13, 14)]","[(13, 14), (15, 18)]",2
"When she did n't get her way , she drove off in a tantrum .","When she did n't get her way , she drove off in a fit of anger .",tantrum,fit of anger,"[(13, 14)]","[(13, 16)]",1
"I do n't mind helping him out this time , he 's helped me out many times .","I do n't mind helping him out this time , he 's scratched my back many times .",helped me,scratch back,"[(12, 14)]","[(12, 15)]",1
The businessman was stern about buying these stocks even though all of his business partners were against it .,The businessman was digging heels about buying these stocks even though all of his business partners were against it .,stern,dig heels in,"[(3, 4)]","[(3, 5)]",1
Every relationship has its good and bad times and it is important to stick it out .,Every relationship has its ups and downs and it is important to stick it out .,good | bad times,ups and downs,"[(4, 5), (6, 8)]","[(4, 5), (6, 7)]",2
The vegetable vendor was doing a quick trade in the market today .,The vegetable vendor was doing a roaring trade in the market today .,quick,roaring trade,"[(6, 7)]","[(6, 7)]",1
"Do n't worry , Sophie - this job interview will be easy for you - you have all the skills they need and I think you 're absolutely the best candidate .","Do n't worry , Sophie - this job interview will be a piece of cake for you - you have all the skills they need and I think you 're absolutely the best candidate .",easy,a piece of cake,"[(11, 12)]","[(11, 15)]",1
"His wife is a nonconformist , she does not believe in the work that we do .","His wife is a free spirit , she does not believe in the work that we do .",nonconformist,free spirit,"[(4, 5)]","[(4, 6)]",1
The project stalled quite early on and then for it to take of was obviously quite difficult .,The project ran out of steam quite early on and then for it to take of was obviously quite difficult .,stalled,run out of steam,"[(2, 3)]","[(2, 4), (5, 6)]",2
They tampered with my research and Thank God I found it out and I 'm sure they were hoping to send me on a futile search as I continue my research .,They tampered with my research and Thank God I found it out and I 'm sure they were hoping to send me on a wild goose chase as I continue my research .,futile search,wild goose chase,"[(24, 26)]","[(24, 27)]",1
The store has made significant improvement from where it was and seems to be headed strongly in the right direction .,The store has taken a quantum leap from where it was and seems to be headed strongly in the right direction .,made significant improvement,quantum leap,"[(3, 6)]","[(3, 7)]",1
"It 's fine that your mom has paid your bills , but sooner or later you have to stop avoiding paying your own bills .","It 's fine that your mom has paid your bills , but sooner or later you have to stop kicking the can down the road .",avoiding paying | own,kick the can down the road,"[(19, 21), (22, 23)]","[(19, 25)]",2
"The new CEO promises that the company performed very well this year and He has yet to release the financial statements , I am afraid that it 's an elaborate cover up of something .","The new CEO promises that the company performed very well this year and He has yet to release the financial statements , I am afraid that it 's a snow job .",an elaborate cover up of something,snow job,"[(28, 34)]","[(28, 31)]",1
I 'm tired of him always finding faults with me and I 'm going to point out his faults and show him what he does .,I 'm tired of him always finding faults with me and I 'm going to give him a taste of his own medicine .,point out | show | what he does,taste of own medicine,"[(15, 17), (20, 21), (22, 25)]","[(15, 16), (17, 19), (21, 23)]",3
Can you speak loudly because those at the back can barely hear you ?,Can you speak up because those at the back can barely hear you ?,loudly,speak up,"[(3, 4)]","[(3, 4)]",1
He said the rewarding and punishing approach is not effective when it comes to management .,He said the carrot and stick approach is not effective when it comes to management .,rewarding | punishing,carrot and stick,"[(3, 4), (5, 6)]","[(3, 4), (5, 6)]",2
I underestimated how lucky I was with the weather when I lived in America .,I took the weather for granted when I lived in America .,underestimated how lucky | was with,take for granted,"[(1, 4), (5, 7)]","[(1, 2), (4, 6)]",2
The politician came under harsh criticism after it was discovered that he had spend campaign money on lavish parties .,The politician came under fire after it was discovered that he had spend campaign money on lavish parties .,harsh criticism,under fire,"[(4, 6)]","[(4, 5)]",1
